event_type,timestamp,system_score,severity,behavioral_anomaly_flag,external_connection_flag,unknown_process_flag,sensitive_access_flag,label,process_name,parent_process,cpu_percent,memory_mb,cpu_zscore,memory_zscore,parent_child_rarity,cmd_entropy,process_freq_5min,is_known_binary,remote_ip,remote_port,is_private_ip,is_known_ip,connection_freq_1min,unique_ip_5min,port_risk,file_path,file_action,file_extension,is_sensitive_path,is_executable,file_freq_1min,file_rarity
process,2026-03-25 00:00:00,4,2,1,0,0,0,1,postgres.exe,cmd.exe,0.05,193.64,0.34,2.24,0.52,1.92,14.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:00,2,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,1.0,25.0,12.0,0.74,,,,,,,
network,2026-03-25 00:00:00,1,1,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,8080.0,1.0,0.0,23.0,6.0,0.16,,,,,,,
network,2026-03-25 00:00:00,4,1,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,8080.0,0.0,0.0,21.0,7.0,0.93,,,,,,,
network,2026-03-25 00:00:01,2,2,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,443.0,0.0,0.0,18.0,5.0,0.2,,,,,,,
network,2026-03-25 00:00:01,2,1,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,0.0,0.0,25.0,3.0,0.51,,,,,,,
file,2026-03-25 00:00:01,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,exe,0.0,1.0,6.0,0.91
process,2026-03-25 00:00:01,0,1,0,0,0,0,0,chrome.exe,pg_ctl.exe,96.79,134.29,2.36,1.25,0.42,3.28,15.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:02,4,2,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,443.0,1.0,1.0,2.0,11.0,0.16,,,,,,,
network,2026-03-25 00:00:02,0,2,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,4444.0,0.0,0.0,1.0,9.0,0.86,,,,,,,
file,2026-03-25 00:00:02,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,0.0,1.0,20.0,0.38
process,2026-03-25 00:00:02,3,0,1,0,0,0,1,python.exe,explorer.exe,9.14,224.93,2.82,2.81,0.91,4.14,18.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:03,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,0.0,24.0,11.0,0.93,,,,,,,
network,2026-03-25 00:00:03,1,2,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,8080.0,0.0,0.0,14.0,3.0,0.73,,,,,,,
process,2026-03-25 00:00:03,1,0,0,0,0,0,0,postgres.exe,explorer.exe,74.47,412.54,2.03,0.29,0.34,3.73,10.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:03,1,1,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,0.0,1.0,28.0,4.0,0.02,,,,,,,
file,2026-03-25 00:00:04,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,0.0,0.0,4.0,0.18
process,2026-03-25 00:00:04,3,2,1,0,0,0,1,chrome.exe,cmd.exe,73.28,369.86,1.08,1.92,0.27,3.69,16.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:04,4,0,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,8080.0,0.0,0.0,7.0,14.0,0.31,,,,,,,
process,2026-03-25 00:00:04,2,2,0,0,0,0,0,postgres.exe,explorer.exe,24.85,361.46,1.05,1.87,0.94,4.15,7.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:05,2,0,0,0,0,0,0,python.exe,explorer.exe,76.86,225.78,2.12,0.71,0.81,0.56,17.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:05,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,conf,0.0,1.0,13.0,0.93
network,2026-03-25 00:00:05,3,1,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,443.0,0.0,0.0,25.0,8.0,0.99,,,,,,,
process,2026-03-25 00:00:05,4,1,1,0,0,0,1,postgres.exe,explorer.exe,5.83,31.97,1.49,2.68,0.71,3.61,18.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:06,4,0,1,0,0,0,1,python.exe,pg_ctl.exe,15.31,272.23,0.67,2.27,0.28,2.98,2.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:06,2,0,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,0.0,0.0,20.0,9.0,0.39,,,,,,,
file,2026-03-25 00:00:06,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,txt,1.0,1.0,19.0,0.58
file,2026-03-25 00:00:06,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,conf,0.0,1.0,7.0,0.16
file,2026-03-25 00:00:07,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,txt,1.0,0.0,16.0,0.2
network,2026-03-25 00:00:07,1,1,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,4444.0,1.0,0.0,26.0,12.0,0.93,,,,,,,
file,2026-03-25 00:00:07,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,created,txt,0.0,0.0,13.0,0.96
process,2026-03-25 00:00:07,0,2,0,0,0,0,0,python.exe,explorer.exe,66.12,498.64,0.76,2.25,0.82,4.58,11.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:08,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,conf,1.0,1.0,3.0,0.4
process,2026-03-25 00:00:08,0,0,0,0,0,0,0,postgres.exe,pg_ctl.exe,58.16,178.53,1.77,2.77,0.73,1.84,18.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:08,2,0,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,0.0,22.0,10.0,0.48,,,,,,,
network,2026-03-25 00:00:08,2,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,8080.0,0.0,0.0,26.0,4.0,0.41,,,,,,,
file,2026-03-25 00:00:09,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,conf,0.0,1.0,5.0,0.3
network,2026-03-25 00:00:09,2,0,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,0.0,0.0,6.0,15.0,0.72,,,,,,,
network,2026-03-25 00:00:09,1,1,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,4444.0,1.0,1.0,8.0,8.0,0.55,,,,,,,
file,2026-03-25 00:00:09,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,created,exe,1.0,0.0,12.0,0.8
file,2026-03-25 00:00:10,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,created,txt,0.0,0.0,12.0,0.49
file,2026-03-25 00:00:10,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,0.0,1.0,11.0,0.44
